entry_date,entry_price,trade_type,position_size,exit_date,exit_price,exit_reason,pnl,holding_days
2025-04-14,111.0,LONG,1.0,2025-04-30,110.0,EOM,-1.0,16
2025-04-15,111.49,LONG,1.0,2025-04-30,110.0,EOM,-1.4899999999999949,15
2025-04-16,111.02,LONG,1.0,2025-04-30,110.0,EOM,-1.019999999999996,14
2025-04-17,110.58,LONG,1.0,2025-04-30,110.0,EOM,-0.5799999999999983,13
2025-04-18,110.26,LONG,1.0,2025-04-30,110.0,EOM,-0.2600000000000051,12
2025-04-21,112.03,LONG,1.0,2025-04-30,110.0,EOM,-2.030000000000001,9
2025-04-22,111.22,LONG,1.0,2025-04-30,110.0,EOM,-1.2199999999999989,8
2025-04-23,112.82,LONG,1.0,2025-04-30,110.0,EOM,-2.819999999999993,7
2025-04-24,112.05,LONG,1.0,2025-04-30,110.0,EOM,-2.049999999999997,6
2025-04-25,110.92,LONG,1.0,2025-04-30,110.0,EOM,-0.9200000000000017,5
2025-04-28,111.07,LONG,1.0,2025-04-30,110.0,EOM,-1.0699999999999932,2
2025-04-29,111.13,LONG,1.0,2025-04-30,110.0,EOM,-1.1299999999999955,1
2025-05-01,107.55,LONG,1.0,2025-05-30,107.0,EOM,-0.5499999999999972,29
2025-05-02,108.21,LONG,1.0,2025-05-30,107.0,EOM,-1.2099999999999937,28
2025-05-05,108.97,LONG,1.0,2025-05-30,107.0,EOM,-1.9699999999999989,25
2025-05-06,109.22,LONG,1.0,2025-05-30,107.0,EOM,-2.219999999999999,24
2025-05-07,109.7,LONG,1.0,2025-05-30,107.0,EOM,-2.700000000000003,23
2025-05-08,107.9,LONG,1.0,2025-05-30,107.0,EOM,-0.9000000000000057,22
2025-05-09,108.29,LONG,1.0,2025-05-30,107.0,EOM,-1.2900000000000063,21
2025-05-12,111.32,LONG,1.0,2025-05-30,107.0,EOM,-4.319999999999993,18
2025-05-13,110.78,LONG,1.0,2025-05-30,107.0,EOM,-3.780000000000001,17
2025-05-14,113.03,LONG,1.0,2025-05-30,107.0,EOM,-6.030000000000001,16
2025-05-15,112.33,LONG,1.0,2025-05-30,107.0,EOM,-5.329999999999998,15
2025-05-16,111.19,LONG,1.0,2025-05-30,107.0,EOM,-4.189999999999998,14
2025-05-19,110.57,LONG,1.0,2025-05-30,107.0,EOM,-3.569999999999993,11
2025-05-20,110.35,LONG,1.0,2025-05-30,107.0,EOM,-3.3499999999999943,10
2025-05-21,110.66,LONG,1.0,2025-05-30,107.0,EOM,-3.6599999999999966,9
2025-05-22,109.77,LONG,1.0,2025-05-30,107.0,EOM,-2.769999999999996,8
2025-05-23,108.91,LONG,1.0,2025-05-30,107.0,EOM,-1.9099999999999966,7
2025-05-26,107.87,LONG,1.0,2025-05-30,107.0,EOM,-0.8700000000000045,4
2025-05-27,106.85,LONG,1.0,2025-05-30,107.0,EOM,0.15000000000000568,3
2025-05-28,106.86,LONG,1.0,2025-05-30,107.0,EOM,0.14000000000000057,2
2025-05-29,107.42,LONG,1.0,2025-05-30,107.0,EOM,-0.4200000000000017,1
2025-06-02,105.81,LONG,1.0,2025-06-30,104.78,EOM,-1.0300000000000011,28
2025-06-03,104.48,LONG,1.0,2025-06-30,104.78,EOM,0.29999999999999716,27
2025-06-04,105.2,LONG,1.0,2025-06-30,104.78,EOM,-0.4200000000000017,26
2025-06-05,104.43,LONG,1.0,2025-06-30,104.78,EOM,0.3499999999999943,25
2025-06-06,105.17,LONG,1.0,2025-06-30,104.78,EOM,-0.39000000000000057,24
2025-06-09,104.49,LONG,1.0,2025-06-30,104.78,EOM,0.29000000000000625,21
2025-06-10,104.26,LONG,1.0,2025-06-30,104.78,EOM,0.519999999999996,20
2025-06-11,104.97,LONG,1.0,2025-06-30,104.78,EOM,-0.18999999999999773,19
2025-06-12,104.45,LONG,1.0,2025-06-30,104.78,EOM,0.3299999999999983,18
2025-06-13,104.07,LONG,1.0,2025-06-30,104.78,EOM,0.710000000000008,17
